TYPE,RATE_ID,MANAGEMENT_UNIT_CODE,MANAGEMENT_UNIT_NAME,SPECIES_GROUP_CODE,SPECIES_GROUP_NAME,RATE_TYPE_CODE,RATE_TYPE_NAME,RATE,EFFECTIVE_DATE,EXPIRY_DATE
RATE,58,130,Wabigoon Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,59,130,Wabigoon Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,60,130,Wabigoon Forest,WBR,White Birch,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,61,140,Mazinaw-Lanark Forest,CON,Conifer,FRC,Forest Renewal Charge,5,1042026,31032027
RATE,62,140,Mazinaw-Lanark Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,2.15,1042026,31032027
RATE,63,140,Mazinaw-Lanark Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,9.5,1042026,31032027
RATE,64,140,Mazinaw-Lanark Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,3,1042026,31032027
RATE,65,140,Mazinaw-Lanark Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,2.15,1042026,31032027
RATE,66,140,Mazinaw-Lanark Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,2.15,1042026,31032027
RATE,67,140,Mazinaw-Lanark Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,2.15,1042026,31032027
RATE,68,140,Mazinaw-Lanark Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,2.15,1042026,31032027
RATE,69,140,Mazinaw-Lanark Forest,POP,Poplar,FRC,Forest Renewal Charge,2.15,1042026,31032027
RATE,70,140,Mazinaw-Lanark Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,12,1042026,31032027
RATE,71,140,Mazinaw-Lanark Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,3.15,1042026,31032027
RATE,72,140,Mazinaw-Lanark Forest,WBR,White Birch,FRC,Forest Renewal Charge,4,1042026,31032027
RATE,73,175,Caribou Forest,CON,Conifer,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,74,175,Caribou Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,4.5,1042026,31032027
RATE,75,175,Caribou Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,76,175,Caribou Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,77,175,Caribou Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,78,175,Caribou Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,3,1042026,31032027
RATE,79,175,Caribou Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,80,175,Caribou Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,81,175,Caribou Forest,POP,Poplar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,82,175,Caribou Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,83,175,Caribou Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,84,175,Caribou Forest,WBR,White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,85,177,Dog River-Matawin Forest,CON,Conifer,FRC,Forest Renewal Charge,6.2,1042026,31032027
RATE,86,177,Dog River-Matawin Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,87,177,Dog River-Matawin Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,88,177,Dog River-Matawin Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,89,177,Dog River-Matawin Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,90,177,Dog River-Matawin Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,3.25,1042026,31032027
RATE,91,177,Dog River-Matawin Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,92,177,Dog River-Matawin Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,93,177,Dog River-Matawin Forest,POP,Poplar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,94,177,Dog River-Matawin Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,95,177,Dog River-Matawin Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,96,177,Dog River-Matawin Forest,WBR,White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,97,210,Spanish Forest,CON,Conifer,FRC,Forest Renewal Charge,4,1042026,31032027
RATE,98,210,Spanish Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,0.39,1042026,31032027
RATE,99,210,Spanish Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,6.33,1042026,31032027
RATE,100,210,Spanish Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.21,1042026,31032027
RATE,101,210,Spanish Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1.21,1042026,31032027
RATE,102,210,Spanish Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,4,1042026,31032027
RATE,103,210,Spanish Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.39,1042026,31032027
RATE,104,210,Spanish Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,4,1042026,31032027
RATE,105,210,Spanish Forest,POP,Poplar,FRC,Forest Renewal Charge,0.39,1042026,31032027
RATE,106,210,Spanish Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,3.34,1042026,31032027
RATE,107,210,Spanish Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,3.34,1042026,31032027
RATE,108,210,Spanish Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.39,1042026,31032027
RATE,109,220,Bancroft-Minden Forest,CON,Conifer,FRC,Forest Renewal Charge,2.75,1042026,31032027
RATE,110,220,Bancroft-Minden Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,2.75,1042026,31032027
RATE,111,220,Bancroft-Minden Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8.5,1042026,31032027
RATE,112,220,Bancroft-Minden Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,2.25,1042026,31032027
RATE,113,220,Bancroft-Minden Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,2.75,1042026,31032027
RATE,114,220,Bancroft-Minden Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,1.75,1042026,31032027
RATE,115,220,Bancroft-Minden Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,1.75,1042026,31032027
RATE,116,220,Bancroft-Minden Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,1.75,1042026,31032027
RATE,117,220,Bancroft-Minden Forest,POP,Poplar,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,118,220,Bancroft-Minden Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,119,220,Bancroft-Minden Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,3.5,1042026,31032027
RATE,120,220,Bancroft-Minden Forest,WBR,White Birch,FRC,Forest Renewal Charge,2.75,1042026,31032027
RATE,121,230,English River Forest,CON,Conifer,FRC,Forest Renewal Charge,6.5,1042026,31032027
RATE,122,230,English River Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,123,230,English River Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,124,230,English River Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,125,230,English River Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,126,230,English River Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,127,230,English River Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,128,230,English River Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,5.5,1042026,31032027
RATE,129,230,English River Forest,POP,Poplar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,130,230,English River Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,131,230,English River Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,132,230,English River Forest,WBR,White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,133,280,Timiskaming Forest,CON,Conifer,FRC,Forest Renewal Charge,4.6,1042026,31032027
RATE,134,280,Timiskaming Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,135,280,Timiskaming Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,0.47,1042026,31032027
RATE,136,280,Timiskaming Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,0.47,1042026,31032027
RATE,137,280,Timiskaming Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.47,1042026,31032027
RATE,138,280,Timiskaming Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,139,280,Timiskaming Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.47,1042026,31032027
RATE,140,280,Timiskaming Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,4.6,1042026,31032027
RATE,141,280,Timiskaming Forest,POP,Poplar,FRC,Forest Renewal Charge,0.47,1042026,31032027
RATE,142,280,Timiskaming Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,5.6,1042026,31032027
RATE,143,280,Timiskaming Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,4.6,1042026,31032027
RATE,144,280,Timiskaming Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.47,1042026,31032027
RATE,145,350,Kenogami Forest,CON,Conifer,FRC,Forest Renewal Charge,7.25,1042026,31032027
RATE,146,350,Kenogami Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,7.25,1042026,31032027
RATE,147,350,Kenogami Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,148,350,Kenogami Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,149,350,Kenogami Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,150,350,Kenogami Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,4.25,1042026,31032027
RATE,151,350,Kenogami Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,152,350,Kenogami Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,7.25,1042026,31032027
RATE,153,350,Kenogami Forest,POP,Poplar,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,154,350,Kenogami Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,155,350,Kenogami Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,156,350,Kenogami Forest,WBR,White Birch,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,157,360,French-Severn Forest,CON,Conifer,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,158,360,French-Severn Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,3,1042026,31032027
RATE,159,360,French-Severn Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8.5,1042026,31032027
RATE,160,360,French-Severn Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,161,360,French-Severn Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,162,360,French-Severn Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,163,360,French-Severn Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,164,360,French-Severn Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,2,1042026,31032027
RATE,165,360,French-Severn Forest,POP,Poplar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,166,360,French-Severn Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11.5,1042026,31032027
RATE,167,360,French-Severn Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,4.5,1042026,31032027
RATE,168,360,French-Severn Forest,WBR,White Birch,FRC,Forest Renewal Charge,2,1042026,31032027
RATE,169,390,Nagagami Forest,CON,Conifer,FRC,Forest Renewal Charge,4.6,1042026,31032027
RATE,170,390,Nagagami Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,171,390,Nagagami Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,172,390,Nagagami Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,173,390,Nagagami Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.17,1042026,31032027
RATE,174,390,Nagagami Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,0.17,1042026,31032027
RATE,175,390,Nagagami Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.17,1042026,31032027
RATE,176,390,Nagagami Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,0.17,1042026,31032027
RATE,177,390,Nagagami Forest,POP,Poplar,FRC,Forest Renewal Charge,0.17,1042026,31032027
RATE,178,390,Nagagami Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,179,390,Nagagami Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,180,390,Nagagami Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.17,1042026,31032027
RATE,181,406,Boundary Waters Forest,CON,Conifer,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,182,406,Boundary Waters Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,183,406,Boundary Waters Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,184,406,Boundary Waters Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,185,406,Boundary Waters Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,186,406,Boundary Waters Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,187,406,Boundary Waters Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,188,406,Boundary Waters Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,6,1042026,31032027
RATE,189,406,Boundary Waters Forest,POP,Poplar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,190,406,Boundary Waters Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,9,1042026,31032027
RATE,191,406,Boundary Waters Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,9,1042026,31032027
RATE,192,406,Boundary Waters Forest,WBR,White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,193,415,Ogoki Forest,CON,Conifer,FRC,Forest Renewal Charge,5,1042026,31032027
RATE,194,415,Ogoki Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,5.25,1042026,31032027
RATE,195,415,Ogoki Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,196,415,Ogoki Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,197,415,Ogoki Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,198,415,Ogoki Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,2.88,1042026,31032027
RATE,199,415,Ogoki Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,200,415,Ogoki Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,5.25,1042026,31032027
RATE,201,415,Ogoki Forest,POP,Poplar,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,202,415,Ogoki Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,203,415,Ogoki Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,204,415,Ogoki Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,205,421,Pineland Forest,CON,Conifer,FRC,Forest Renewal Charge,3,1042026,31032027
RATE,206,421,Pineland Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,0.43,1042026,31032027
RATE,207,421,Pineland Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,2.95,1042026,31032027
RATE,208,421,Pineland Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,0.56,1042026,31032027
RATE,209,421,Pineland Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.56,1042026,31032027
RATE,210,421,Pineland Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,3,1042026,31032027
RATE,211,421,Pineland Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.43,1042026,31032027
RATE,212,421,Pineland Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,3,1042026,31032027
RATE,213,421,Pineland Forest,POP,Poplar,FRC,Forest Renewal Charge,0.43,1042026,31032027
RATE,214,421,Pineland Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,4.04,1042026,31032027
RATE,215,421,Pineland Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,4.04,1042026,31032027
RATE,216,421,Pineland Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.43,1042026,31032027
RATE,217,438,Gordon Cosens Forest,CON,Conifer,FRC,Forest Renewal Charge,4,1042026,31032027
RATE,218,438,Gordon Cosens Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,219,438,Gordon Cosens Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,220,438,Gordon Cosens Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,221,438,Gordon Cosens Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,222,438,Gordon Cosens Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,223,438,Gordon Cosens Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,224,438,Gordon Cosens Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,225,438,Gordon Cosens Forest,POP,Poplar,FRC,Forest Renewal Charge,0.58,1042026,31032027
RATE,226,438,Gordon Cosens Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,227,438,Gordon Cosens Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,228,438,Gordon Cosens Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.58,1042026,31032027
RATE,229,443,Wabadowgong Noopming Forest,CON,Conifer,FRC,Forest Renewal Charge,6.5,1042026,31032027
RATE,230,443,Wabadowgong Noopming Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,5,1042026,31032027
RATE,231,443,Wabadowgong Noopming Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,232,443,Wabadowgong Noopming Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,233,443,Wabadowgong Noopming Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,234,443,Wabadowgong Noopming Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
